nome,telefone,email,ultimo_pedido,qtd_pedidos
Cliente 1,4899000000,cliente1@email.com,2025-04-25,1
Cliente 2,4899000001,cliente2@email.com,2025-04-24,2
Cliente 3,4899000002,cliente3@email.com,2025-04-23,3
Cliente 4,4899000003,cliente4@email.com,2025-04-22,4
Cliente 5,4899000004,cliente5@email.com,2025-04-21,5
Cliente 6,4899000005,cliente6@email.com,2025-04-20,6
Cliente 7,4899000006,cliente7@email.com,2025-04-19,7
Cliente 8,4899000007,cliente8@email.com,2025-04-18,8
Cliente 9,4899000008,cliente9@email.com,2025-04-17,9
Cliente 10,4899000009,cliente10@email.com,2025-04-16,10
Cliente 11,4899000010,cliente11@email.com,2025-04-15,11
Cliente 12,4899000011,cliente12@email.com,2025-04-14,12
Cliente 13,4899000012,cliente13@email.com,2025-04-13,13
Cliente 14,4899000013,cliente14@email.com,2025-04-12,14
Cliente 15,4899000014,cliente15@email.com,2025-04-11,15
Cliente 16,4899000015,cliente16@email.com,2025-04-10,1
Cliente 17,4899000016,cliente17@email.com,2025-04-09,2
Cliente 18,4899000017,cliente18@email.com,2025-04-08,3
Cliente 19,4899000018,cliente19@email.com,2025-04-07,4
Cliente 20,4899000019,cliente20@email.com,2025-04-06,5
Cliente 21,4899000020,cliente21@email.com,2025-04-05,6
Cliente 22,4899000021,cliente22@email.com,2025-04-04,7
Cliente 23,4899000022,cliente23@email.com,2025-04-03,8
Cliente 24,4899000023,cliente24@email.com,2025-04-02,9
Cliente 25,4899000024,cliente25@email.com,2025-04-01,10
Cliente 26,4899000025,cliente26@email.com,2025-03-31,11
Cliente 27,4899000026,cliente27@email.com,2025-03-30,12
Cliente 28,4899000027,cliente28@email.com,2025-03-29,13
Cliente 29,4899000028,cliente29@email.com,2025-03-28,14
Cliente 30,4899000029,cliente30@email.com,2025-03-27,15
Cliente 31,4899000030,cliente31@email.com,2025-03-26,1
Cliente 32,4899000031,cliente32@email.com,2025-03-25,2
Cliente 33,4899000032,cliente33@email.com,2025-03-24,3
Cliente 34,4899000033,cliente34@email.com,2025-03-23,4
Cliente 35,4899000034,cliente35@email.com,2025-03-22,5
Cliente 36,4899000035,cliente36@email.com,2025-03-21,6
Cliente 37,4899000036,cliente37@email.com,2025-03-20,7
Cliente 38,4899000037,cliente38@email.com,2025-03-19,8
Cliente 39,4899000038,cliente39@email.com,2025-03-18,9
Cliente 40,4899000039,cliente40@email.com,2025-03-17,10
Cliente 41,4899000040,cliente41@email.com,2025-03-16,11
Cliente 42,4899000041,cliente42@email.com,2025-03-15,12
Cliente 43,4899000042,cliente43@email.com,2025-03-14,13
Cliente 44,4899000043,cliente44@email.com,2025-03-13,14
Cliente 45,4899000044,cliente45@email.com,2025-03-12,15
Cliente 46,4899000045,cliente46@email.com,2025-03-11,1
Cliente 47,4899000046,cliente47@email.com,2025-03-10,2
