nome,telefone,email,ultimo_pedido,qtd_pedidos
Cliente 1,4899685223,cliente1@email.com,2025-03-08,7
Cliente 2,4899967601,cliente2@email.com,2025-04-08,4
Cliente 3,4899163830,cliente3@email.com,2025-03-28,15
Cliente 4,4899167376,cliente4@email.com,2025-04-21,1
Cliente 5,4899630480,cliente5@email.com,2025-03-25,1
Cliente 6,4899258608,cliente6@email.com,2025-04-16,3
Cliente 7,4899653064,cliente7@email.com,2025-02-24,7
Cliente 8,4899146795,cliente8@email.com,2025-04-22,11
Cliente 9,4899809714,cliente9@email.com,2025-04-14,4
Cliente 10,4899259579,cliente10@email.com,2025-04-09,13
Cliente 11,4899731438,cliente11@email.com,2025-03-04,11
Cliente 12,4899265537,cliente12@email.com,2025-04-09,10
Cliente 13,4899915682,cliente13@email.com,2025-04-15,9
Cliente 14,4899983302,cliente14@email.com,2025-03-31,1
Cliente 15,4899981357,cliente15@email.com,2025-03-25,11
Cliente 16,4899382709,cliente16@email.com,2025-03-21,3
Cliente 17,4899403962,cliente17@email.com,2025-04-13,11
Cliente 18,4899871473,cliente18@email.com,2025-04-09,3
Cliente 19,4899928155,cliente19@email.com,2025-04-09,1
Cliente 20,4899396834,cliente20@email.com,2025-04-22,15
Cliente 21,4899529436,cliente21@email.com,2025-04-15,10
Cliente 22,4899593864,cliente22@email.com,2025-03-09,2
Cliente 23,4899791571,cliente23@email.com,2025-03-10,8
Cliente 24,4899910218,cliente24@email.com,2025-02-24,10
Cliente 25,4899548525,cliente25@email.com,2025-03-01,3
Cliente 26,4899341981,cliente26@email.com,2025-03-15,3
Cliente 27,4899161229,cliente27@email.com,2025-03-18,14
Cliente 28,4899780148,cliente28@email.com,2025-04-12,6
Cliente 29,4899904102,cliente29@email.com,2025-03-28,5
Cliente 30,4899204080,cliente30@email.com,2025-04-04,3
Cliente 31,4899827480,cliente31@email.com,2025-04-24,13
Cliente 32,4899835237,cliente32@email.com,2025-03-30,5
Cliente 33,4899514931,cliente33@email.com,2025-03-21,1
Cliente 34,4899405659,cliente34@email.com,2025-03-18,3
Cliente 35,4899708413,cliente35@email.com,2025-03-26,12
Cliente 36,4899736951,cliente36@email.com,2025-03-20,4
Cliente 37,4899749306,cliente37@email.com,2025-04-17,8
Cliente 38,4899914513,cliente38@email.com,2025-04-08,10
Cliente 39,4899449464,cliente39@email.com,2025-03-14,13
Cliente 40,4899428218,cliente40@email.com,2025-04-11,7
Cliente 41,4899869936,cliente41@email.com,2025-04-04,2
Cliente 42,4899366377,cliente42@email.com,2025-03-24,2
Cliente 43,4899105764,cliente43@email.com,2025-02-27,14
Cliente 44,4899906894,cliente44@email.com,2025-04-12,5
Cliente 45,4899950620,cliente45@email.com,2025-04-20,12
Cliente 46,4899904214,cliente46@email.com,2025-04-15,8
Cliente 47,4899623488,cliente47@email.com,2025-03-15,10
Cliente 48,4899598692,cliente48@email.com,2025-03-07,6
Cliente 49,4899830860,cliente49@email.com,2025-04-03,13
Cliente 50,4899321080,cliente50@email.com,2025-03-04,10
Cliente 51,4899142815,cliente51@email.com,2025-03-10,6
Cliente 52,4899924015,cliente52@email.com,2025-03-17,10
Cliente 53,4899380449,cliente53@email.com,2025-04-17,15
Cliente 54,4899896175,cliente54@email.com,2025-02-28,8
Cliente 55,4899571991,cliente55@email.com,2025-04-08,3
Cliente 56,4899203213,cliente56@email.com,2025-03-20,7
Cliente 57,4899345297,cliente57@email.com,2025-03-18,3
Cliente 58,4899828711,cliente58@email.com,2025-02-26,11
Cliente 59,4899660306,cliente59@email.com,2025-04-05,1
Cliente 60,4899463187,cliente60@email.com,2025-04-05,3
Cliente 61,4899846532,cliente61@email.com,2025-03-18,7
Cliente 62,4899207690,cliente62@email.com,2025-04-18,11
Cliente 63,4899701032,cliente63@email.com,2025-03-06,15
Cliente 64,4899998215,cliente64@email.com,2025-04-09,3
Cliente 65,4899545427,cliente65@email.com,2025-03-10,14
Cliente 66,4899764775,cliente66@email.com,2025-03-24,11
Cliente 67,4899238236,cliente67@email.com,2025-03-10,4
Cliente 68,4899570149,cliente68@email.com,2025-04-04,6
